Source,Target,Type,Id,Label,timeset,Weight
UCtqICqGbPSbTN09K1_7VZ3Q,UC5eOLQO5VUEFJukNg9cl5jg,Directed,53,,,1
UCzj9-ZfpJ74vYv1RZzAWTVg,UCtqICqGbPSbTN09K1_7VZ3Q,Directed,54,,,1
UCzj9-ZfpJ74vYv1RZzAWTVg,UC5eOLQO5VUEFJukNg9cl5jg,Directed,55,,,1
UCzj9-ZfpJ74vYv1RZzAWTVg,UCjsHDXUU3BjBCG7OaCbNDyQ,Directed,56,,,1
UCvsT2e-SyiVm4NnTVjzWCkA,UCcziTK2NKeWtWQ6kB5tmQ8Q,Directed,57,,,1
UCvsT2e-SyiVm4NnTVjzWCkA,UC_yP2DpIgs5Y1uWC0T03Chw,Directed,58,,,1
UCvsT2e-SyiVm4NnTVjzWCkA,UC2_OG1L8DLTzQ7UrZVOk7OA,Directed,59,,,1
UCvsT2e-SyiVm4NnTVjzWCkA,UCiS98AQGiMcu-cTIO9iZv_g,Directed,60,,,1
UCq-8pBMM3I40QlrhM9ExXJQ,UCMkOKU7usWmqcpLDcWG9PtQ,Directed,61,,,1
UCq-8pBMM3I40QlrhM9ExXJQ,UCGeFgMJfWclTWuPw8Ok5FUQ,Directed,62,,,1
UCq-8pBMM3I40QlrhM9ExXJQ,UCtqICqGbPSbTN09K1_7VZ3Q,Directed,63,,,1
UC5eOLQO5VUEFJukNg9cl5jg,UCtqICqGbPSbTN09K1_7VZ3Q,Directed,64,,,1
UC5eOLQO5VUEFJukNg9cl5jg,UCyJDHgrsUKuWLe05GvC2lng,Directed,65,,,1
UCeR8BYZS7IHYjk_9Mh5JgkA,UCtqICqGbPSbTN09K1_7VZ3Q,Directed,66,,,1
UCeR8BYZS7IHYjk_9Mh5JgkA,UCq-8pBMM3I40QlrhM9ExXJQ,Directed,67,,,1
UCeR8BYZS7IHYjk_9Mh5JgkA,UCaNlbnghtwlsGF-KzAFThqA,Directed,68,,,1
UCWYxQt9Y3y2CDzXLf2K7xCA,UCtqICqGbPSbTN09K1_7VZ3Q,Directed,69,,,1
UCWYxQt9Y3y2CDzXLf2K7xCA,UCq-8pBMM3I40QlrhM9ExXJQ,Directed,70,,,1
UCWYxQt9Y3y2CDzXLf2K7xCA,UCzj9-ZfpJ74vYv1RZzAWTVg,Directed,71,,,1
UCWYxQt9Y3y2CDzXLf2K7xCA,UCjsHDXUU3BjBCG7OaCbNDyQ,Directed,72,,,1
UCWYxQt9Y3y2CDzXLf2K7xCA,UC5eOLQO5VUEFJukNg9cl5jg,Directed,73,,,1
UCWYxQt9Y3y2CDzXLf2K7xCA,UCGeFgMJfWclTWuPw8Ok5FUQ,Directed,74,,,1
UCWYxQt9Y3y2CDzXLf2K7xCA,UC2_OG1L8DLTzQ7UrZVOk7OA,Directed,75,,,1
UCWYxQt9Y3y2CDzXLf2K7xCA,UCeR8BYZS7IHYjk_9Mh5JgkA,Directed,76,,,1
UCWYxQt9Y3y2CDzXLf2K7xCA,UCyJDHgrsUKuWLe05GvC2lng,Directed,77,,,1
UCND0gjuG9ltEWDvh82VJITg,UCW2y2m-mgYg4Y7VLyjIQWWg,Directed,78,,,1
UCND0gjuG9ltEWDvh82VJITg,UC5eOLQO5VUEFJukNg9cl5jg,Directed,79,,,1
UCND0gjuG9ltEWDvh82VJITg,UCq-8pBMM3I40QlrhM9ExXJQ,Directed,80,,,1
UCND0gjuG9ltEWDvh82VJITg,UCWYxQt9Y3y2CDzXLf2K7xCA,Directed,81,,,1
UCND0gjuG9ltEWDvh82VJITg,UCtqICqGbPSbTN09K1_7VZ3Q,Directed,82,,,1
UCND0gjuG9ltEWDvh82VJITg,UCMkOKU7usWmqcpLDcWG9PtQ,Directed,83,,,1
UCND0gjuG9ltEWDvh82VJITg,UC0efyK_-Athm8yhyjNSqndQ,Directed,84,,,1
UCND0gjuG9ltEWDvh82VJITg,UCeR8BYZS7IHYjk_9Mh5JgkA,Directed,85,,,1
UCND0gjuG9ltEWDvh82VJITg,UCjsHDXUU3BjBCG7OaCbNDyQ,Directed,86,,,1
UCND0gjuG9ltEWDvh82VJITg,UCmDMRVBFUyeNscAf1UmILzA,Directed,87,,,1
UCND0gjuG9ltEWDvh82VJITg,UCofQxJWd4qkqc7ZgaLkZfcw,Directed,88,,,1
