;idx;category;name;url;keywords;desc;desc_rapport;url_corrected;url_final;ydt_id;Label;timeset;isseed;seedrank;subscribercount;videocount;viewcount(100s);country;publishedat;daysactive
109;79;Société et éducation civique;Thinkersview;https://www.youtube.com/user/thinkerview;Entretien-interview-professionnels-politique-économie-écologie;"« ThinkerView est un groupe indépendant issu d'internet, très diffèrent de la plupart des think-tanks qui sont inféodés à des partis politiques ou des intérêts privés."" Marc Ullmann.»";;https://www.youtube.com/channel/UCQgWpmt02UtJkyO32HGUASQ;https://www.youtube.com/channel/UCQgWpmt02UtJkyO32HGUASQ;UCQgWpmt02UtJkyO32HGUASQ;Thinkerview;;yes;286;334363;150;292094;not set;2012-10-30T23:23:28.000Z;2540
110;86;Philosophie et esprit critique;DeBunker des Etoiles;https://www.youtube.com/channel/UC_56vSO35nctESDan8agevg;Esprit critique-complotisme-conspirationnisme-Société;« Avec le Debunker des Etoiles, luttons contre les théories conspirationnistes et les superstitions diverses qui polluent internet ! »;;;https://www.youtube.com/channel/UC_56vSO35nctESDan8agevg;UC_56vSO35nctESDan8agevg;DeBunKer des Etoiles;;yes;215;26031;34;11650;FR;2016-02-18T17:34:58.000Z;1334
111;84;Philosophie et esprit critique;Damastès;https://www.youtube.com/channel/UCeLaThEwJRMUg_4HSp8KZEQ;Jeux vidéo;;Réflexions poétiques et philosophiques sur les jeux vidéo (à regarder jusqu’au bout car les conclusions philosophiques arrivent au plus tôt en milieu de vidéo).;;https://www.youtube.com/channel/UCeLaThEwJRMUg_4HSp8KZEQ;UCeLaThEwJRMUg_4HSp8KZEQ;Damastès;;yes;214;0;14;336;FR;2015-08-31T11:32:06.000Z;1505
112;78;Société et éducation civique;Post Modem;https://www.youtube.com/channel/UC3tDSxRqv6ZUAA5jAgULlhg;Sociologie-geek;« Bienvenue sur PostModem, une chaîne YouTube à notre image (peu glorieuse...). Au programme : humour, sociologie et culture geek !»;;;https://www.youtube.com/channel/UC3tDSxRqv6ZUAA5jAgULlhg;UC3tDSxRqv6ZUAA5jAgULlhg;PostModem;;yes;284;2970;35;2163;FR;2016-03-20T15:10:15.000Z;1303
113;88;Philosophie et esprit critique;Esprit Critique;https://www.youtube.com/channel/UC0yPCUmdMZIGtnxSnx5_ifA;Esprit critique-objectivité / subjectif-politique;« Esprit Critique est une chaîne pour développer bah... votre esprit critique.»;;;https://www.youtube.com/channel/UC0yPCUmdMZIGtnxSnx5_ifA;UC0yPCUmdMZIGtnxSnx5_ifA;Esprit Critique;;yes;213;11981;26;2289;FR;2015-10-05T15:21:07.000Z;1470
114;83;Philosophie et esprit critique;Cyrus North;https://www.youtube.com/user/LeCoupdePhil;Philosophie-Braintertainment;« Braintertainment Creator. All my videos (or almost) are subtitled in english! :)»;;https://www.youtube.com/channel/UCah8C0gmLkdtvsy0b2jrjrw;https://www.youtube.com/channel/UCah8C0gmLkdtvsy0b2jrjrw;UCah8C0gmLkdtvsy0b2jrjrw;Cyrus North;;yes;221;352033;131;195690;FR;2013-07-17T13:28:11.000Z;2280
115;66;Société et éducation civique;ContraDico;https://www.youtube.com/channel/UCaiaO62ZVJdxqlsV-WiHKuw;Société;« Salut et bienvenu à toi dans le temple de la contradiction !»;;;https://www.youtube.com/channel/UCaiaO62ZVJdxqlsV-WiHKuw;UCaiaO62ZVJdxqlsV-WiHKuw;ContraDico des ContrAddictions;;yes;283;1643;47;1027;FR;2017-02-15T09:03:50.000Z;971
116;65;Société et éducation civique;Codes&Co;https://www.youtube.com/channel/UCJYKp6eGV9FhPoiBUzoztSg;Droit-Société;« Bonjour les gens, juristes ou non ! Le droit, c'est cool et je vous assure qu'on peut se marrer ! Si vous voulez en savoir plus sur vos droits et les règles invisibles qui vous entourent vous êtes au bon endroit ! Petite juriste en master en droit, qui a passé ses deux premières années en France et qui a émigré en Espagne pour finir son diplôme, je veux essayer de vous faire découvrir le droit sous un autre point de vue, plus fun que nos cours magistraux ou les débats au Parlement. »;;;https://www.youtube.com/channel/UCJYKp6eGV9FhPoiBUzoztSg;UCJYKp6eGV9FhPoiBUzoztSg;Codes&Co;;yes;282;1320;56;1094;FR;2016-12-19T20:05:43.000Z;1029
117;55;Géographie et géopolitique;Le quatrième mur;https://www.youtube.com/channel/UCIogkaC9Y6sRbzcz04_66oA;Urbanisme-architecture;« Dans un monde sombre où le commun des mortels n'a pas appris à ouvrir les yeux... Dans un monde froid où l'architecture et l'urbanisme n'est connu que par une poignée... Il existe un Mur. Un Mur a deux faces qui s'appuie sur les films et les séries pour parler de la réalité. Bienvenue chez le Quatrième Mur ! »;;;https://www.youtube.com/channel/UCIogkaC9Y6sRbzcz04_66oA;UCIogkaC9Y6sRbzcz04_66oA;Le Quatrième Mur;;yes;106;347;4;71;FR;2014-09-02T12:02:41.000Z;1868
118;63;Société et éducation civique;Camille décode;https://www.youtube.com/channel/UCWHZkABcR34T276qySN8xTA;Droit-Société-civil-actualité;« Je dois décrire ma chaine mais le problème c'est que si je te dis que c'est une chaine de droit... tu vas pas regarder mes vidéos ! L'autre problème c'est que si je te dis que je fais justement du droit pour des gens qui n'en font pas... tu vas pas regarder mes vidéos non plus !»;;;https://www.youtube.com/channel/UCWHZkABcR34T276qySN8xTA;UCWHZkABcR34T276qySN8xTA;Camille décode;;yes;281;7359;61;3085;FR;2017-03-14T23:35:14.000Z;944
119;57;Géographie et géopolitique;Point G;https://www.youtube.com/channel/UCBo6bcRr2D9UnkMbgeEEMbw;Géographie-géopolitique-économie-Histoire-actualité;"« Le point G... avec un G comme ""Géographie"" : mieux comprendre un bout du globe en 5 minutes, grâce à un livre, une question, et quelques pistes de réflexion. Géopolitique, développement, frontières, inégalités, économie, histoire... tout y passe ! »";;;https://www.youtube.com/channel/UCBo6bcRr2D9UnkMbgeEEMbw;UCBo6bcRr2D9UnkMbgeEEMbw;Point G;;yes;108;1526;23;283;FR;2016-01-13T20:31:14.000Z;1370
120;53;Géographie et géopolitique;Histoire-géo au tableau;https://www.youtube.com/channel/UCKnQwqEcbWMu1qdOnayfbWA;Etudes de cas-baccalauréat-lycée-géographie-géopolitique;« LES CHAPITRES DU PROGRAMME D’HISTOIRE GEO EN VIDEO ET EN UNE DEMI-HEURE »;;;https://www.youtube.com/channel/UCKnQwqEcbWMu1qdOnayfbWA;UCKnQwqEcbWMu1qdOnayfbWA;L histoire-géo Au tableau;;yes;105;10600;23;10066;FR;2015-09-27T20:29:58.000Z;1478
121;43;Histoire;Confessions d'Histoire;https://www.youtube.com/channel/UCzj9-ZfpJ74vYv1RZzAWTVg;Histoire-Antiquité-Moyen-Age-reconstitution-humour;« Confessions d'Histoire, c'est l'Histoire racontée par ceux qui l'ont vécue !»;;;https://www.youtube.com/channel/UCzj9-ZfpJ74vYv1RZzAWTVg;UCzj9-ZfpJ74vYv1RZzAWTVg;Confessions d Histoire;;yes;115;127983;11;35968;FR;2015-02-06T09:41:30.000Z;1711
122;39;Histoire;Ascl&pios;https://www.youtube.com/channel/UCDqEttzOpPbDoeC05HRPPDQ;Médecine-Histoire-Anecdotes-Maladies-Traitements-Médicaments;« La Médecine à l'ancienne, genre... Vraiment à l'ancienne.»;;;https://www.youtube.com/channel/UCDqEttzOpPbDoeC05HRPPDQ;UCDqEttzOpPbDoeC05HRPPDQ;Asclépios;;yes;114;80435;18;16640;FR;2016-07-14T22:23:51.000Z;1187
