Ordre;Discipline;Nom de la chaine YouTube;URL de la chaine YouTube;Mots-clés;Description (par le/la vidéaste);Description (par l'auteure du rapport)
191.0;Technologie et informatique;Absol Vidéos;https://www.youtube.com/channel/UCUR03ZSZlEvCO6EWwv4jU2w;Informatique-dark web-Youtube;"« Je suis un vidéaste normand de 25 ans, proposant régulièrement des vidéos ""analyse YouTube"" sur des sujets sensibles liés de près ou de loin à YouTube, mais également des vidéos documentaires, traitant par exemple des échecs, des rats, ou de la maltraitance animale.»";
158.0;Biologie, médecine et paléontologie;Connecsciences;https://www.youtube.com/channel/UCaTUwZuy7lq8XYTf74CnepQ;Histoire naturelle-Biologie-géologie;« Chaîne de vulgarisation scientifique dans le domaine des sciences naturelles, et sur l'histoire de la vie et de la Terre en particulier. »;
168.0;Biologie, médecine et paléontologie;La science dans la fiction;https://www.youtube.com/channel/UCRq9T1K8rNdcnNSiWFGYQwA;Science-Biologie-Cinéma-Littérature-jeu vidéo;« La science dans la fiction : Vulgarisation scientifique par le biais du cinéma. Une vidéo par mois. »;
186.0;Biologie, médecine et paléontologie;Tania Louis (BioTcom);https://www.youtube.com/channel/UC9JQQll_r5k1O_Y18ymTp4g;Biologie-Biologie cellulaire;« Biologie Tout Compris : un concept biologique, moins de six minutes, une vidéo !»;
182.0;Biologie, médecine et paléontologie;Risque Alpha;https://www.youtube.com/channel/UCJ7_Ld2cIVY5MM3NcKW3D8A;Médecine-statistique;« Une bonne dose d’épidémiologie, de l'histoire de la médecine et une lichette de statistiques !»;
154.0;Biologie, médecine et paléontologie;Bobo Toubib;https://www.youtube.com/channel/UC7-ni1xUnNlcrM8BDShu9YA;Médecine;« La médecine donne l'image d'un milieu propre et aseptisé. En vrai, c'est pas comme ça.»;
190.0;Biologie, médecine et paléontologie;WhyDoc;https://www.youtube.com/channel/UCdoTJOrvwrX3HvCuCLK3xDA/featured;Médecine;« Et si on parlait médecine, simplement ?»;
294.0;Youtube dans le primaire;Cité des sciences et de l'industrie;https://www.youtube.com/user/citedessciences;Culture scientifique-Culture générale;« La Cité des sciences et de l'industrie est un établissement public spécialisé dans la diffusion de la culture scientifique et technique. Créée à l'initiative du Président Giscard d'Estaing et inaugurée par François Mitterrand en 1986, elle a pour mission de diffuser à un large public les connaissances scientifiques et techniques, ainsi que de susciter l'intérêt des citoyens pour les enjeux de société liés à la science, à la recherche et à l'industrie. La Cité des Sciences est ouverte du mardi au samedi de 10h à 18h et le dimanche de 10h à 19h. »;
300.0;Youtube dans le primaire;E-penser;https://www.youtube.com/user/epenser1;Culture scientifique-Biologie-Histoire-Histoire des Sciences;« Pourquoi bâiller, c'est contagieux ? Qu'est-ce qu'un trou noir ? Comment se forment les arc-en-ciel ? Aristote a-t-il eu raison au moins une fois de son vivant ? Pourquoi 42 ? Docteur qui ? A quoi a vraiment servi Einstein ? Le boson de Higgs ?! Le lolcat de Schrödinger...»;
277.0;Audio-visuel, cinéma et jeu vidéo;Un bot pourrait faire ça;https://www.youtube.com/channel/UCpfe3Yjy2jGJFRk-D7DVrXw;Jeux vidéo-Art;"« Ouais le jeux vidéo dans l'art, mais en fait un bot pourrait faire la même chose hein"" Oui mais en fait non parce que c'est souvent plus subtil et intéressant que ça en a l'air. »";
296.0;Youtube dans le primaire;Collège de France;https://www.youtube.com/user/WebmestreCDF;Culture générale-Art-Sciences humaines-Sciences sociales-Sciences cognitives-Sciences;« Le Collège de France développe et enseigne la recherche dans les sciences, les arts et les lettres. Cours et séminaires sont ouverts à tous et gratuits. »;
270.0;Audio-visuel, cinéma et jeu vidéo;Osmosis;https://www.youtube.com/channel/UC2FR3CXLhzfqCfTDOLzS_3Q;Jeux vidéo-game design-création d’œuvre;« Tu cherches des jeux en co-op pour jouer avec ton mec / ta meuf / ton père / ta mère / ton voisin / Barack Obama ? Alors bienvenue !»;
298.0;Youtube dans le primaire;Doc Seven;https://www.youtube.com/channel/UC5Twj1Axp_-9HLsZ5o_cEQQ;Culture générale-Histoire-géographie-Art-Sciences-top 7;« Bref, j'aime le chiffre 7, j'aime ce que je ne connais pas et j'aime faire partager des choses.»;
269.0;Audio-visuel, cinéma et jeu vidéo;Miss Myu;https://www.youtube.com/channel/UCBkNuuj09PAlnsCihZTYW2A;Jeux vidéo-game design-level design-gameplay;« Game designer à mes heures perdues, youtubeuse le reste du temps. Ou l'inverse. »;
291.0;Culture générale;Caméléon Curieux;https://www.youtube.com/channel/UCBFKnRO_lG72CRcKyVSKe6Q/featured;Culture scientifique;« T'aimes te poser des questions un poil farfelues ou simplement apprendre des trucs pour briller en société ? »;
289.0;Culture générale;BrainWhy;https://www.youtube.com/channel/UCpfLyZINZ1CkMVF81NHDXaA;NeuroSciences-Culture générale;« C'est quoi BrainWhy ? C'est des réponses en vidéos à des questions NEURO-scientifiques !»;
284.0;Sport;Un ballon pas si rond;https://www.youtube.com/channel/UCQtGFB2lDt0-d7OdGpeGOHQ;Football-économie du sport;« J'aime parler, j'aime le foot, alors je me suis dit que j'allais parler de foot.»;
49.0;Histoire;Salon de l'histoire;https://www.youtube.com/channel/UCtPPkaXk1DXerZEvfPb4ssA;Histoire-Histoire moderne-Histoire contemporaine-Histoire antique;« Bonjour et bienvenue dans le salon de l'Histoire. Installez-vous confortablement. Vous êtes prêts ? Je vais vous raconter quelles sont les histoires, les légendes et les événements qui ont façonné notre monde. Et on peut dire qu'il y en a un bon paquet ! N'hésitez pas à réagir en laissant des commentaires !»;
36.0;Langue française, langues et linguistique;Signe&Vous;https://www.youtube.com/channel/UCbMwZeGQwv3lrwELbojTYNw;Surdité-langue des signes française-LSF;« Pour communiquer avec les sourds, il ne suffit pas de connaitre l'équivalent en signes des mots que l'on souhaite traduire. Cette chaîne se propose de vous enseigner la manière de les utiliser correctement pour comprendre et être compris. »;
50.0;Histoire;Sur le champ;https://www.youtube.com/channel/UCiWrr_SnP8eK-_9yJWFzbEA;Histoire-batailles-guerre-tactique-stratégie;« La tactique et la stratégie militaires ont aussi une histoire. A travers l'analyse de différentes batailles, je vous propose de découvrir ce qui a marqué cette discipline, non pour l'exercer mais pour la comprendre. »;
33.0;Langue française, langues et linguistique;Linguisticae;https://www.youtube.com/channel/UCofQxJWd4qkqc7ZgaLkZfcw;langue française-langues romanes-langues inventées-indo-européen-linguistique diachronique;;Etudiant en philologie, axé langues indo- européenne et évolution des langues
42.0;Histoire;Bonnie Soubise;https://www.youtube.com/channel/UCUP3KJnzQLN6aA_Rmd2U17w/about;Histoire du costume-Histoire du vêtement-Histoire;« Tu aimes la mode et l'histoire te passionne ? Alors bienvenue sur ma chaine de vulgarisation sur l'histoire du costume ! »;
35.0;Langue française, langues et linguistique;Monsieur Lucas Wild;https://www.youtube.com/channel/UCXw2TBQp-GEhM1bsBASuv8g;Surdité-langue des signes française-LSF;;Vidéo en LSF sous-titrées en français.
