,channel_id,url,url_corrected
313,CuriosityCatalyst,https://www.youtube.com/user/geoffreyspot,https://www.youtube.com/channel/UCg47pIhBRJbz52-ABnm0uxw
248,ScienceEtonnante,https://www.youtube.com/user/ScienceEtonnante,https://www.youtube.com/channel/UCaNlbnghtwlsGF-KzAFThqA
326,experimentboy,https://www.youtube.com/user/experimentboyTV,https://www.youtube.com/channel/UCvGag7MyHR8H9oRm9iL9Ifw
244,DrNozman,https://www.youtube.com/user/DrNozman,https://www.youtube.com/channel/UCWnfDPdZw6A23UtuBpYBbAg
319,scilabus,https://www.youtube.com/user/scilabus,https://www.youtube.com/channel/UCeR8BYZS7IHYjk_9Mh5JgkA
240,profroques,https://www.youtube.com/user/profroques,https://www.youtube.com/channel/UCgBo-uwQNi8tipTiloVcFBQ
180,Cygnification,https://www.youtube.com/user/CygnificationCNV,https://www.youtube.com/channel/UChW-VEUq2ej-4meaGN0GjFw
54,CommPsylaChaine,CommPsy,https://www.youtube.com/channel/UCQ6riSJrySOWe_njanfh2LA
305,LexTutor,https://www.youtube.com/user/NunyaFR/featured,https://www.youtube.com/channel/UCmDMRVBFUyeNscAf1UmILzA
112,thinkerview,https://www.youtube.com/user/thinkerview,https://www.youtube.com/channel/UCQgWpmt02UtJkyO32HGUASQ
211,dexsilicium,https://www.youtube.com/user/dexsilicium,https://www.youtube.com/channel/UCH6ppHEvV3_WIXEwmhv9HEg
188,OlivierChambon,https://www.youtube.com/user/TravailleursDuWeb,https://www.youtube.com/channel/UCa_8QKdrQkjQR2Oo23RT1uw
84,citedessciencesetdel'industrie,https://www.youtube.com/user/citedessciences,https://www.youtube.com/channel/UC2RSe5ZktAjE3qoMKi2pA_g
87,Collègedefrance,https://www.youtube.com/user/WebmestreCDF,https://www.youtube.com/channel/UCzZiy3EANVAx7h2XYqXsVbw
85,epenser,https://www.youtube.com/user/epenser1,https://www.youtube.com/channel/UCcziTK2NKeWtWQ6kB5tmQ8Q
68,LeLaboCube,https://www.youtube.com/user/LeLaboCube,https://www.youtube.com/channel/UCfuphWV9Lv4jGAVDxkPuSyw
67,matieregrise,https://www.youtube.com/user/matieregrise1/,https://www.youtube.com/channel/UCRqy2HKvfeEtQVIv4S77Tzg
161,Espacedessciences,https://www.youtube.com/user/Espacedessciences,https://www.youtube.com/channel/UClDk0iyj99stPxD9NQUaVSQ
233,LaMinuteScience,https://www.youtube.com/user/LaMinuteScience,https://www.youtube.com/channel/UCwBn4dgV3kxzvcCKN3TbQOQ
231,lesbonsprofs,https://www.youtube.com/user/lesbonsprofs,https://www.youtube.com/channel/UCL7FXdd8TW0hxNHmzlPlAQQ
230,leprofduweb,https://www.youtube.com/user/leprofduweb,https://www.youtube.com/channel/UCXbAhuThX3pjE-wZS6VRW9w
203,ScienceEtonnante,https://www.youtube.com/user/ScienceEtonnante,https://www.youtube.com/channel/UCaNlbnghtwlsGF-KzAFThqA
202,moocfrancetveducbac,https://www.youtube.com/user/moocfrancetveducbac,https://www.youtube.com/channel/UCJuRkp3llDerQb9vT0XOepg
201,reseaucanope,https://www.youtube.com/user/reseaucanope,https://www.youtube.com/channel/UCww2Dlet6IoU2_eXmVL0RJQ
183,universciencelsf,https://www.youtube.com/user/universciencelsf,https://www.youtube.com/channel/UCoHwgsFsY9fDhbNpQL1R3NA
177,universcienceTV,https://www.youtube.com/user/universcienceTV/,https://www.youtube.com/channel/UC3E2DhYIqnoc6H3WXwTVnlA
