;Id;Label;timeset;isseed;seedrank;subscribercount;videocount;viewcount(100s);country;publishedat;daysactive;category
0;UCvpC3r6uMufMM5qb3c0QtDw;Nine Gorman;;yes;1.0;77559;227;53246;FR;2013-03-30T23:23:53.000Z;2395;Lettres et littérature
1;UCFyaA9LoooQrLiDvP0R7GpA;Mediaclasse.fr;;yes;2.0;52134;76;42361;FR;2014-10-18T09:56:40.000Z;1829;Lettres et littérature
2;UCAmsG64faWTwlpGCfHQ3mig;Bulledop;;yes;3.0;66973;185;36516;FR;2012-06-19T11:37:27.000Z;2680;Lettres et littérature
3;UCrpqKTyAxJWSpwmA_BfWTjw;Le Tropeur;;yes;4.0;56490;143;33918;FR;2008-03-07T18:02:45.000Z;4245;Lettres et littérature
4;UC32vOdZp-NN4eZZhJrUNR6w;Les boloss des belles lettres;;yes;5.0;31693;19;25531;FR;2016-01-21T16:20:52.000Z;1369;Lettres et littérature
5;UC2XIqez2q8sk2bd8YcAok5Q;Le Mock;;yes;6.0;59823;76;22150;FR;2015-01-15T16:44:59.000Z;1740;Lettres et littérature
6;UCvFUHbJieL0AzVHHbgfhk7A;Northern Rufio;;yes;7.0;28160;46;11738;not set;2010-11-12T21:24:56.000Z;3265;Lettres et littérature
7;UCO-YDXoZJNVJFmF1UJ17rEw;La Brigade du Livre;;yes;8.0;37617;38;7777;FR;2015-01-13T17:04:22.000Z;1742;Lettres et littérature
8;UCP2X3cVGXP0r56gOGhiRDlA;Margaud Liseuse;;no;;67849;484;62858;CH;2007-10-16T12:15:17.000Z;4388;Lettres et littérature
9;UC3Tr4hAYtgoUDI4ZVPq2H_A;Lili bouquine;;no;;27840;74;7338;not set;2010-11-12T21:16:43.000Z;3265;Lettres et littérature
10;UCO7-85zSw00SnPAZk6t6jwQ;Moody Take a book;;no;;29295;291;21164;FR;2014-05-14T06:14:08.000Z;1986;Lettres et littérature
11;UCZk7htL8Us2jsIjGLfO0CvA;MaxBooking;;no;;2551;173;1206;CA;2015-10-02T03:29:05.000Z;1480;Lettres et littérature
12;UCq19T2NZ1VQkaX4ofbx_gfg;Emile Ravenwood;;no;;1382;0;0;CA;2012-04-15T11:01:16.000Z;2745;Lettres et littérature
13;UCpfhirUJo0fxM0IdJqL4g7w;Lemon June;;no;;29319;108;15357;FR;2013-02-09T20:33:57.000Z;2445;Lettres et littérature
14;UCkv82c0G9Qn1vUZ2mBcOn4A;L Homme Littéraire;;no;;13297;18;1941;FR;2015-04-15T18:42:13.000Z;1650;Lettres et littérature
15;UCu8EOaw52LhS3b8X-N0N_5A;Boîte à Lettres;;no;;6049;22;2113;FR;2014-12-01T11:06:46.000Z;1785;Lettres et littérature
16;UCJgYXYDJV9UZfxMcKuvc-0g;Le Marque-Page;;no;;13988;33;2875;not set;2015-04-10T11:52:47.000Z;1655;Lettres et littérature
17;UCy6r387MQ28-EvApxraTDLQ;Entre mes... couvertures;;no;;3050;338;2497;FR;2015-01-29T13:22:17.000Z;1726;Lettres et littérature
18;UC-XaweTnPBhPM-2hbE6xCJQ;L Arche;;no;;5927;58;2288;FR;2016-01-21T13:24:53.000Z;1369;Lettres et littérature
19;UCLsjb-32UWEOlsKggOfxnIg;Pallas Athéné;;no;;5677;13;509;FR;2015-03-06T20:54:32.000Z;1690;Lettres et littérature
20;UCzi49Gp-XX9m5foHOWWGKeA;SOS ART;;no;;8773;58;2855;FR;2014-12-21T16:28:11.000Z;1765;Lettres et littérature
21;UCQq9fMRQhXOyOZeageaj6ag;NART l art en 3 coups de pinceau;;no;;31388;111;9686;FR;2015-04-10T07:34:35.000Z;1655;Lettres et littérature
22;UC8miF2H8VfLDDGeslNaWHfQ;Elles Comme Linguistes;;no;;3681;47;1085;not set;2016-07-10T10:31:50.000Z;1198;undefined
23;UCs-co4VM68JvRHI7LvSoRbg;L  artichaut;;no;;4726;54;5662;not set;2015-08-30T08:19:37.000Z;1513;undefined
24;UCyq3IT3VhVS5CG0ZEPKOPAw;Grammaire Katherine Damboise;;no;;1861;89;1013;FR;2013-08-13T18:35:17.000Z;2260;Lettres et littérature
25;UCGQpfDrCLmHLfGaj1_jse_A;Bien écrire;;no;;26563;315;16994;FR;2015-03-18T20:24:36.000Z;1678;Lettres et littérature
26;UCL1ScW5p_7TF-uWdVo1WjTw;Art Comptant Pour Rien;;no;;35106;27;7022;BE;2016-05-01T15:31:45.000Z;1268;Lettres et littérature
27;UCjTZULESrd3WLIEhs6rfMQw;REG  ART;;no;;4206;30;476;FR;2016-02-11T15:12:42.000Z;1348;Lettres et littérature
28;UCZ17ceLrs__ZzLwx8IrEFkw;Muséonaute;;no;;14780;24;1835;FR;2016-06-24T19:33:56.000Z;1214;Lettres et littérature
29;UCqoA_4T0CLx6WXy2V70Lz-g;Jean Mineraud;;no;;6018;209;13149;FR;2013-12-13T09:44:14.000Z;2138;Lettres et littérature
30;UC4WrrwIRp1DAFMwSpWkE4WA;Spectisempra;;no;;19791;85;9509;not set;2007-08-27T10:07:14.000Z;4438;Lettres et littérature
31;UCamtZWT5z8aJCQFW8wqCCCw;Oukouloumougnou;;no;;503;9;186;not set;2010-08-25T10:34:51.000Z;3344;Lettres et littérature
32;UC3BSLDP8DnptZUDTQCI0JBA;Audrey - Le Souffle des Mots;;no;;56946;358;39203;not set;2013-07-06T06:54:20.000Z;2298;Lettres et littérature
33;UC53bDI054G1btYn7Xvj_b2A;Patrice Maktav;;no;;2707;36;612;FR;2015-02-09T18:00:39.000Z;1715;Lettres et littérature
34;UCPX3WMMbUzDoWHmeU4PXAnw;La Troposphère;;no;;712;11;212;not set;2015-06-19T14:27:47.000Z;1585;Lettres et littérature
35;UCCDC5tLwN2sGGk0kjQpp0Lw;Vasectony;;no;;118;0;0;FR;2016-02-13T02:49:16.000Z;1346;Lettres et littérature
36;UCfl_Rq9M-5cr-bYiPR6DWyg;Hokku;;no;;7467;29;2465;FR;2016-01-11T07:14:40.000Z;1379;Lettres et littérature
37;UCK-qtevl9lnaAOOuEjd7jmg;Thomas Vernant;;no;;44401;49;19952;FR;2013-11-05T01:54:54.000Z;2176;Lettres et littérature
38;UClcm8V06GdThzblRhjkEUpQ;ZedLRS;;no;;39100;1;59;FR;2015-05-13T16:03:25.000Z;1622;Lettres et littérature
39;UCMkOKU7usWmqcpLDcWG9PtQ;Vled Tapas;;no;;24261;61;6681;not set;2013-09-24T01:51:06.000Z;2218;undefined
40;UCSrgb_6DtFxExYLfToRJIww;Les séries de Paul;;no;;5204;94;2613;BE;2013-07-22T16:47:37.000Z;2282;Lettres et littérature
41;UCMJbMMFyi1wOxp4ZiTO-xQg;Deconne Cheese;;no;;46777;94;76088;not set;2013-11-05T15:11:01.000Z;2176;Lettres et littérature
42;UC4Euikzr0bLKsnNuIKW6Sfg;On n est pas couché;;no;;484975;3695;4090923;FR;2012-11-23T16:50:40.000Z;2523;Lettres et littérature
43;UCXUSLU65KYElvyrrbQA1KIw;Faites entrer l accusé;;no;;173856;150;827529;FR;2013-06-12T13:48:07.000Z;2322;Lettres et littérature
44;UCCBR4hxc0hMbWs0IfBljQMg;France Télévisions;;no;;232135;3138;1245497;FR;2010-05-20T13:37:52.000Z;3441;Lettres et littérature
45;UCIkYvjt9MFLY0gmYlpt-Z2w;On n demande qu à en rire;;no;;402671;1583;4032967;FR;2013-01-22T16:07:56.000Z;2463;Lettres et littérature
46;UCtqICqGbPSbTN09K1_7VZ3Q;DirtyBiology;;no;;742089;71;426949;FR;2014-02-17T23:26:27.000Z;2071;Biologie, médecine et paléontologie
47;UCtpRdVgkgUChGBIBGDUWgWA;ET BIM;;no;;78092;81;37715;FR;2012-05-30T19:03:27.000Z;2700;Lettres et littérature
48;UCfuphWV9Lv4jGAVDxkPuSyw;Lab³;;no;;6285;56;1118;FR;2014-10-05T18:56:30.000Z;1842;Lettres et littérature
49;UC4MTt1roHhqUSV1g7XBSujw;Madeleine Brossier;;no;;517;8;346;FR;2015-03-27T09:31:31.000Z;1669;Lettres et littérature
